date,year,month,pm25_target,mean_temp,mean_humidity,rainfall,weather_pm25_station,total_vehicles,diesel_share,ev_share
2015-01-01,2015,1,45.85,16.4,70.0,41.7,42.0,694359,19.41,0.23
2015-02-01,2015,2,49.23,17.5,78.0,32.0,42.0,699048,19.31,0.24
2015-03-01,2015,3,31.0,19.9,85.0,28.4,25.0,700909,19.32,0.26
2015-04-01,2015,4,24.47,23.6,77.0,64.5,23.0,702923,19.23,0.28
2015-05-01,2015,5,14.9,27.5,85.0,513.0,11.0,703639,19.17,0.3
2015-06-01,2015,6,10.4,29.7,80.0,302.1,9.0,708653,19.07,0.31
2015-07-01,2015,7,17.73,29.1,79.0,406.1,14.0,710519,19.02,0.32
2015-08-01,2015,8,24.3,29.3,78.0,143.3,19.0,712202,18.96,0.34
2015-09-01,2015,9,24.23,28.4,78.0,87.9,20.0,714400,18.89,0.37
2015-10-01,2015,10,30.93,26.0,77.0,168.3,26.0,716736,18.8,0.42
2015-11-01,2015,11,25.83,24.0,79.0,22.8,23.0,719494,18.74,0.48
2015-12-01,2015,12,28.96,18.6,76.0,64.3,26.0,722012,18.64,0.55
2016-01-01,2016,1,27.95,16.0,83.0,266.9,23.0,723196,18.65,0.58
2016-02-01,2016,2,29.95,15.5,74.0,24.8,25.0,724748,18.65,0.6
2016-03-01,2016,3,30.81,17.5,84.0,148.7,27.0,726171,18.63,0.67
2016-04-01,2016,4,24.87,23.6,89.0,211.4,20.0,728171,18.61,0.69
2016-05-01,2016,5,19.93,26.7,83.0,233.6,17.0,729560,18.58,0.7
2016-06-01,2016,6,10.07,29.4,82.0,347.4,10.0,730968,18.55,0.73
2016-07-01,2016,7,14.8,29.8,79.0,175.9,12.0,731027,18.54,0.77
2016-08-01,2016,8,18.72,28.4,84.0,532.7,,732974,18.55,0.8
2016-09-01,2016,9,23.27,27.9,79.0,323.1,21.0,734999,18.54,0.87
2016-10-01,2016,10,20.39,26.8,80.0,624.4,,735651,18.55,0.89
2016-11-01,2016,11,24.7,22.3,79.0,131.3,18.0,738322,18.56,0.91
2016-12-01,2016,12,36.3,19.6,70.0,6.6,29.0,739390,18.52,0.93
2017-01-01,2017,1,31.75,18.5,79.0,7.8,29.0,742199,18.53,0.96
2017-02-01,2017,2,28.65,17.0,75.0,19.9,25.0,743685,18.53,1.04
2017-03-01,2017,3,30.65,19.3,81.0,48.0,27.0,747772,18.48,1.36
2017-04-01,2017,4,24.55,23.3,81.0,58.8,21.0,747346,18.54,1.36
2017-05-01,2017,5,22.65,26.0,82.0,399.3,19.0,748994,18.58,1.37
2017-06-01,2017,6,10.2,28.8,83.0,656.0,9.0,751355,18.6,1.41
2017-07-01,2017,7,11.95,28.7,83.0,570.0,10.0,751740,18.63,1.41
2017-08-01,2017,8,13.75,29.3,80.0,489.1,12.0,753580,18.69,1.41
2017-09-01,2017,9,20.95,29.0,80.0,192.4,20.0,755847,18.77,1.4
2017-10-01,2017,10,23.45,26.3,71.0,99.6,22.0,757013,18.75,1.4
2017-11-01,2017,11,26.4,22.2,76.0,31.2,25.0,759257,18.71,1.41
2017-12-01,2017,12,35.55,17.8,66.0,0.0,36.0,759889,18.63,1.4
2018-01-01,2018,1,28.85,16.1,77.0,62.2,24.0,762980,18.64,1.4
2018-02-01,2018,2,31.08,16.0,70.0,4.5,27.0,764661,18.62,1.4
2018-03-01,2018,3,25.52,20.8,76.0,22.7,21.0,765543,18.64,1.37
2018-04-01,2018,4,24.57,23.6,78.0,28.1,23.0,767859,18.62,1.4
2018-05-01,2018,5,15.08,28.3,77.0,57.5,14.0,769782,18.64,1.4
2018-06-01,2018,6,13.68,28.6,80.0,458.8,13.0,770348,18.64,1.41
2018-07-01,2018,7,10.11,29.1,81.0,341.1,11.0,770742,18.65,1.41
2018-08-01,2018,8,17.44,28.6,84.0,615.1,15.0,772448,18.68,1.41
